,text1,text2,label
0,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null len node null colon_token node null var4 node node null var5 node null colon_token node null var4 node node null brace_token node node node null let_token node null var6 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var2 node null len node null var5 node null semi_token node node null var7 node null bang_token node null tokens node node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var6 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var6 node node node null mem node null var8 node null new node null paren_token node null var6 node null semi_token node node null let_token node null var2 node node null var6 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var6 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var5 node node null var6 node null dot_token node null var5acity node null paren_token node null semi_token node node null var1 node null paren_token node node null var2 node null len node null var5,1
1,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node node null fn_token node null var1 node node null paren_token node node null var2 node null colon_token node node null and_token node null Mut node node null mem node node null var3 node node null lt_token node null String node null gt_token node node null star_token node null Mut node null var4 node node null brace_token node node null var2 node null dot_token node null as_mut_ptr node null paren_token node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var2 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var2 node node node null mem node null var3 node null new node null paren_token node null var2 node null semi_token node node null let_token node null var5 node node null var1 node null paren_token node node null and_token node null Mut node null var2 node null semi_token node node null let_token node null len node node null var2 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var6 node node null var2 node null dot_token node null var6acity node null paren_token node null semi_token node node null let_token node null var2 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var5 node null len node null var6 node null semi_token node node null var8 node null bang_token node null tokens node,0
2,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var1 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null paren_token node node null var2 node null var3 node null var4 node node null var1 node null dot_token node null var5 node null paren_token node null semi_token node node null let_token node null var11 node node null unsafe_token node node null brace_token node node node null let_token node null var1lice node node node null var1td node null var1lice node null from_raw_parts node null paren_token node node null var2 node null var3 node null semi_token node node node null String node null from_raw_parts node null paren_token node node null var2 node null var3 node null var4 node null semi_token node node null var8 node null bang_token node null tokens node,0
3,node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var1 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var1 node node node null mem node null var2 node null new node null paren_token node null var1 node null semi_token node node null let_token node null var3 node node null var1 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var1 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var4 node node null var1 node null dot_token node null var4 node null paren_token node null semi_token node node null for_token node null var5 node null in_token node node null token node null len node node null brace_token node node null unsafe_token node node null brace_token node node node null var3tr node null write node null paren_token node node node null var3 node null dot_token node null var6 node null paren_token node null var5 node node node node null var3tr node null var7 node null paren_token node node null var3 node null dot_token node null var6 node null paren_token node null var5 node null token node node null let_token node null var1 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var3 node null len node null var4 node null semi_token node node null var8 node null bang_token node null tokens node,node node node node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null len node null colon_token node null var4 node node null var5 node null colon_token node null var4 node node null brace_token node node node null let_token node null var6 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var2 node null len node null var5 node null semi_token node node null var7 node null bang_token node null tokens node node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var6 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var6 node node node null mem node null var8 node null new node null paren_token node null var6 node null semi_token node node null let_token node null var2 node node null var6 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var6 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var5 node node null var6 node null dot_token node null var5acity node null paren_token node null semi_token node node null var1 node null paren_token node node null var2 node null len node null var5,1
4,node node node null pub_token node null struct_token node null var1 node node node null brace_token node node node null Some node node null colon_token node node null star_token node null Mut node null var2 node node null Some node node null colon_token node null var3 node node null Some node node null colon_token node null var3 node node null impl_token node node null var4 node null var1 node null brace_token node node node null fn_token node null drop node node null paren_token node node node null Mut node null self_token node node null brace_token node node null unsafe_token node node null brace_token node node null drop node null paren_token node node node null String node null from_raw_parts node null paren_token node node node null self node null dot_token node node node null self node null dot_token node node node null self node null dot_token node,node node node node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null len node null colon_token node null var4 node node null var5 node null colon_token node null var4 node node null brace_token node node node null let_token node null var6 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var2 node null len node null var5 node null semi_token node node null var7 node null bang_token node null tokens node node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var6 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var6 node node node null mem node null var8 node null new node null paren_token node null var6 node null semi_token node node null let_token node null var2 node node null var6 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var6 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var5 node node null var6 node null dot_token node null var5acity node null paren_token node null semi_token node node null var1 node null paren_token node node null var2 node null len node null var5,1
5,node node null impl_token node node node null var1 node node null lt_token node null var2 node null gt_token node null var3 node null brace_token node node node null type_token node null var4 node node null eq_token node null var5 node null semi_token node node node null fn_token node null var6 node node null paren_token node null self_token node node null Result node node null lt_token node node null var2 node node null var7 node null var4 node null gt_token node node null brace_token node node null match_token node node node null self node null dot_token node node null dot_token node null var8 node null paren_token node null brace_token node node node null token node null fat_arrow_token node node null brace_token node node null var9 node null paren_token node node node null var2 node null var10 node null paren_token node node node node null self node null dot_token node node null dot_token node null var6 node null paren_token node null question_token node node null token node null fat_arrow_token node node null var9 node null paren_token node node node null var2 node null var11 node null paren_token node node node node null self node null dot_token node node null dot_token node null var6 node null paren_token node null question_token node node null token node null fat_arrow_token node node null unsafe_token node node null brace_token node node node null let_token node node null paren_token node node null var12 node null var13 node null var14 node node node null self node null dot_token node node null dot_token node null var15 node null paren_token node null semi_token node node null var9 node null paren_token node node node null var2 node null var16 node null paren_token node node node null String node null from_raw_parts node null paren_token node node null var12 node null var13 node null var14 node node null var17 node null fat_arrow_token node node null var18 node null paren_token node node node null var5 node null var19 node null paren_token node node null var20 node null bang_token node null tokens node,node node node node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null len node null colon_token node null var4 node node null var5 node null colon_token node null var4 node node null brace_token node node node null let_token node null var6 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var2 node null len node null var5 node null semi_token node node null var7 node null bang_token node null tokens node node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var6 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var6 node node node null mem node null var8 node null new node null paren_token node null var6 node null semi_token node node null let_token node null var2 node node null var6 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var6 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var5 node node null var6 node null dot_token node null var5acity node null paren_token node null semi_token node node null var1 node null paren_token node node null var2 node null len node null var5,1
6,node node null impl_token node node null var1 node null String node null brace_token node node node null fn_token node null var2 node node null paren_token node node node null Mut node null self_token node null var3 node node null brace_token node node node null let_token node null var4 node node node null self node null dot_token node null as_bytes_mut node null paren_token node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null self node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var5 node node null self node null dot_token node null var5acity node null paren_token node null semi_token node node node null String node null from_raw_parts node null paren_token node node null var4 node null len node null var5,node node node node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null len node null colon_token node null var4 node node null var5 node null colon_token node null var4 node node null brace_token node node node null let_token node null var6 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var2 node null len node null var5 node null semi_token node node null var7 node null bang_token node null tokens node node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var6 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var6 node node node null mem node null var8 node null new node null paren_token node null var6 node null semi_token node node null let_token node null var2 node node null var6 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var6 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var5 node node null var6 node null dot_token node null var5acity node null paren_token node null semi_token node node null var1 node null paren_token node node null var2 node null len node null var5,1
7,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var1 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var1 node node node null mem node null var2 node null new node null paren_token node null var1 node null semi_token node node null let_token node null var3 node node null var1 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null len node node null var1 node null dot_token node null len node null paren_token node null semi_token node node null let_token node null var4 node node null var1 node null dot_token node null var4 node null paren_token node null semi_token node node null for_token node null var5 node null in_token node node null token node null len node node null brace_token node node null unsafe_token node node null brace_token node node node null var3tr node null write node null paren_token node node node null var3 node null dot_token node null var6 node null paren_token node null var5 node node node node null var3tr node null var7 node null paren_token node node null var3 node null dot_token node null var6 node null paren_token node null var5 node null token node node null let_token node null var1 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var3 node null len node null var4 node null semi_token node node null var8 node null bang_token node null tokens node,0
8,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var1 node node null var1ec node null bang_token node null tokens node node null semi_token node node null let_token node node null paren_token node node null var3 node null var4 node null var5 node node null var1 node null dot_token node null var6 node null paren_token node null semi_token node node null let_token node null var7 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var3 node null var4 node null var5 node null semi_token node node null var8 node null bang_token node null tokens node,0
9,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node node null fn_token node null var1 node node null paren_token node node null var2 node null colon_token node node null and_token node null Mut node null var5tr node node null brace_token node node node null let_token node null var3 node node null var2 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null var4 node node null var2 node null dot_token node null var4en node null paren_token node null semi_token node node null let_token node null var5 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var3 node null var4 node null var4 node null semi_token node node null var6 node null bang_token node null tokens node node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var5 node node node null String node null from node null paren_token node null token node null semi_token node node null let_token node node null Mut node null var5 node node node null mem node null var7 node null new node null paren_token node null var5 node null semi_token node node null let_token node null var2 node node null var5 node null dot_token node null var8 node null paren_token node null semi_token node node null var1 node null paren_token node null var2,0
10,node node null pub_token node node node null extern_token node null token node null fn_token node null var1 node node null paren_token node node node null var2 node null colon_token node node null star_token node null Mut node null var3 node node null var4 node null colon_token node null var5 node node null var6 node null colon_token node null var5 node null var7 node node null brace_token node node node node null String node null from_raw_parts node null paren_token node node null var2 node null var4 node null var6 node null token,node node node null fn_token node null main node node null paren_token node node null brace_token node node node null let_token node null var1 node node null var1ec node null bang_token node null tokens node node null semi_token node node null let_token node node null Mut node null var1 node node node null mem node null var3 node null new node null paren_token node null var1 node null semi_token node node null let_token node null var4 node node null var1 node null dot_token node null as_mut_ptr node null paren_token node null semi_token node node null let_token node null var5 node node null var1 node null dot_token node null var5en node null paren_token node null semi_token node node null let_token node null var6 node node null var1 node null dot_token node null var6apacity node null paren_token node null semi_token node node null let_token node node null Mut node null var8 node node null unsafe_token node node null brace_token node node node null String node null from_raw_parts node null paren_token node node null var4 node null var5 node null var6 node null semi_token node node null var9 node null bang_token node null tokens node node node null var9 node null bang_token node null tokens node,0
